,station_coords,station_names
0,"'118.777761,31.981484'",阅城国际南门
1,"'118.784985,31.983802'",郁金香路
2,"'118.787064,31.984688'",翠岛花城北
3,"'118.792687,31.98714'",丁墙村
4,"'118.795551,31.988368'",郁金香路东
5,"'118.797747,31.988494'",卡子门大街南
6,"'118.797592,31.983997'",软件大道东
7,"'118.797926,31.979956'",明发商业广场
8,"'118.802468,31.981542'",双龙街
9,"'118.807331,31.981832'",汇康路
100,"'118.758173,31.997193'",龙福山庄总站
101,"'118.757852,32.003963'",赛上路
102,"'118.761001,32.007254'",凤台南路
103,"'118.763027,32.00906'",赛虹桥
104,"'118.767914,32.009605'",赛虹桥立交东
105,"'118.776416,32.007146'",中华门地铁站
106,"'118.778982,32.00633'",应天大街·雨花路
107,"'118.780903,32.009316'",大报恩寺遗址公园
108,"'118.782339,32.013759'",中华门城堡
109,"'118.783102,32.017122'",中华路·长乐路
110,"'118.780779,32.020491'",中山南路·新桥
111,"'118.782884,32.025859'",中山南路·升州路
112,"'118.784136,32.032322'",三元巷
113,"'118.784149,32.036547'",新街口南
114,"'118.784126,32.0438'",新街口北
115,"'118.784119,32.048161'",中山路·珠江路南
116,"'118.784125,32.051223'",中山路·珠江路北
117,"'118.784126,32.057032'",鼓楼医院
118,"'118.781191,32.061442'",中山北路·鼓楼
119,"'118.778967,32.063381'",中山北路·大方巷
120,"'118.774188,32.067532'",山西路
121,"'118.768819,32.072213'",中山北路·虹桥
122,"'118.761601,32.078474'",中山北路·三牌楼
123,"'118.757676,32.081853'",中山北路·萨家湾
124,"'118.752599,32.085958'",盐仓桥广场西
125,"'118.742466,32.08798'",热河路
126,"'118.736079,32.090237'",公共路中
127,"'118.733953,32.088571'",中山码头北
884,"'118.92224,31.755503'",柘塘
885,"'118.927378,31.751801'",安山
886,"'118.934166,31.746932'",牌头村
887,"'118.938359,31.743984'",交山
888,"'118.944232,31.740536'",科技创业园
889,"'118.948937,31.737813'",吴家村
890,"'118.956302,31.733711'",柘塘中学
891,"'118.960473,31.731884'",新城佳苑
892,"'118.964518,31.730117'",方家边
893,"'118.967283,31.728935'",乌山老街
894,"'118.971558,31.726694'",乌山
895,"'118.977218,31.721814'",徐母塘
896,"'118.980479,31.718285'",幸福寓
